characterDisplayed,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,thisRow.t,notes,welcomeScreen.started,welcomeScreen.stopped,spaceToStart.keys,spaceToStart.rt,spaceToStart.duration,trial.started,trialCharacterText.started,trialPressKey.started,trial.stopped,trialPressKey.keys,trialPressKey.corr,trialPressKey.rt,trialPressKey.duration,goodbyeScreen.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.020746000001963694,5.1884270000009565,space,5.155775100000028,None,,,,,,,,,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
k,0,0,0,18,5.219353100001172,,,,,,,5.196733100005076,5.219353100001172,5.219353100001172,9.488549599998805,k,1,4.266611099999864,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
j,0,1,1,17,9.504855600003793,,,,,,,9.4891529000015,9.504855600003793,9.504855600003793,10.939497500003199,k,0,1.4199492999978247,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
8,0,2,2,6,10.954168500000378,,,,,,,10.93994670000393,10.954168500000378,10.954168500000378,11.721875900002487,k,0,0.7610233999948832,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
a,0,3,3,8,11.738079200003995,,,,,,,11.72230970000237,11.738079200003995,11.738079200003995,13.889317500004836,a,1,2.141495500000019,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
t,0,4,4,25,13.905670200001623,,,,,,,13.889808400002948,13.905670200001623,13.905670200001623,14.472812600004545,v,0,0.5594311999957426,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
s,0,5,5,24,14.488217400001304,,,,,,,14.473247699999774,14.488217400001304,14.488217400001304,14.956519200000912,r,0,0.45226910000201315,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
v,0,6,6,27,14.972513600005186,,,,,,,14.956914700000198,14.972513600005186,14.972513600005186,15.740204800000356,4,0,0.7529715999990003,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
3,0,7,7,1,15.75472940000327,,,,,,,15.740648500002862,15.75472940000327,15.75472940000327,17.556458300001395,6,0,1.8003441000037128,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
5,0,8,8,3,17.57219310000073,,,,,,,17.55705139999918,17.57219310000073,17.57219310000073,18.873330800000986,k,0,1.2878786999935983,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
u,0,9,9,26,18.88844329999847,,,,,,,18.873922800004948,18.88844329999847,18.88844329999847,20.12294710000424,n,0,1.2269323999935295,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
2,0,10,10,0,20.139182300001266,,,,,,,20.123373900001752,20.139182300001266,20.139182300001266,21.739857300002768,e,0,1.5955068999974173,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
y,0,11,11,30,21.75503330000356,,,,,,,21.740292300004512,21.75503330000356,21.75503330000356,24.557453699999314,g,0,2.7996905999971204,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
r,0,12,12,23,24.573053100000834,,,,,,,24.55789509999886,24.573053100000834,24.573053100000834,25.973891900001036,l,0,1.386401299998397,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
w,0,13,13,28,25.98942640000314,,,,,,,25.97433330000058,25.98942640000314,25.98942640000314,27.740877900003397,n,0,1.7405665999976918,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
x,0,14,14,29,27.756027399998857,,,,,,,27.74134210000193,27.756027399998857,27.756027399998857,28.190392299999075,d,0,0.4283865999968839,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
6,0,15,15,4,28.20647050000116,,,,,,,28.190791599998192,28.20647050000116,28.20647050000116,28.341529500001343,g,0,0.13361279999662656,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
9,0,16,16,7,28.355899499998486,,,,,,,28.34197320000385,28.355899499998486,28.355899499998486,29.374739600003522,p,0,1.0150693999967189,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
c,0,17,17,10,29.389631300000474,,,,,,,29.375139100004162,29.389631300000474,29.389631300000474,30.69068640000478,c,1,1.2845861000023433,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
b,0,18,18,9,30.707019699999364,,,,,,,30.69112909999967,30.707019699999364,30.707019699999364,31.575294400005077,b,1,0.8639097999985097,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
m,0,19,19,19,31.58946680000372,,,,,,,31.57585470000049,31.58946680000372,31.58946680000372,32.24088679999841,m,1,0.6403843000007328,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
p,0,20,20,21,32.2563244999983,,,,,,,32.24140080000507,32.2563244999983,32.2563244999983,33.04107810000278,p,1,0.7690615000028629,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
i,0,21,21,16,33.0562493000034,,,,,,,33.04151439999987,33.0562493000034,33.0562493000034,33.77480410000135,i,1,0.7078257000030135,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
